id,word,html,description,pronounce
4,a,"<h1>a</h1><h2>excl</h2><ul><li>O; oh (exclamation of surprise, regret, ect.)<ul style=""list-style-type:circle""><li>a, đồ chơi đẹp quá!:<i> Oh! What a nice toy!</i></li><li>a, tội nghiệp quá:<i>Oh!What a pity!</i></li></ul></li><li>By the way<ul style=""list-style-type:circle""><li>a, còn một vấn đề này nữa :<i>By the way, there's this one other question</i></li></ul></li></ul><h2>noun</h2><ul><li>Acre (100 square meters)</li></ul>","excl: O; oh (exclamation of surprise, regret, ect.)",
5,a dua,"<h1>a dua</h1><h2>verb</h2><ul><li>To ape, to chime in, to join in, to take a leaf out of sb's book<ul style=""list-style-type:circle""><li>a dua theo lối ăn mặc lố lăng:<i>to ape other's eccentric style of dress</i></li><li>người hay a dua bắt chước:<i>a copy-cat</i></li></ul></li></ul>","verb: To ape, to chime in, to join in, to take a leaf out of sb's book",
6,a ha,"<h1>a ha</h1><h2>excl</h2><ul><li>Aha, ha; hurrah, hurray<ul style=""list-style-type:circle""><li>a ha! tên trộm bị cảnh sát tóm rồi!:<i>Ha! the thief is caught by the police!</i></li><li>a ha! cô gái xinh quá!:<i>hurrah! What a pretty girl!</i></li></ul></li></ul>","excl: Aha, ha; hurrah, hurray",
7,a hoàn,<h1>a hoàn</h1><h2>noun</h2><ul><li>Abigail ; maidservant</li></ul>,noun: Abigail ; maidservant,
8,a phiến,"<h1>a phiến</h1><h2>noun</h2><ul><li>Opium<ul style=""list-style-type:circle""><li>cuộc chiến tranh a phiến:<i>The opium war</i></li><li>a phiến thường là mầm mống của tội phạm:<i>in most cases, opium is the germ of the crime</i></li></ul></li></ul>",noun: Opium,
9,a tòng,"<h1>a tòng</h1><h2>verb</h2><ul><li>To act as (be) an accomplice to someone, to act as (be) an accessory to someone, to make common cause with someone<ul style=""list-style-type:circle""><li>hắn a tòng với một người bạn cũ để lừa gạt bà cụ này:<i>he was an accomplice to one of his old friends, so as to swindle this old woman</i></li></ul></li></ul>","verb: To act as (be) an accomplice to someone, to act as (be) an accessory to someone, to make common cause with someone",
10,à,"<h1>à</h1><h2>excl</h2><ul><li>Oh! (exclamation of surprise)<ul style=""list-style-type:circle""><li>à, đẹp tuyệt nhỉ!:<i>Oh, beautiful!</i></li></ul></li><li>By the way<ul style=""list-style-type:circle""><li>à này, tên anh ta là gì?:<i>by the way, what's his name?</i></li></ul></li></ul>",excl: Oh! (exclamation of surprise),
11,à uôm,"<h1>à uôm</h1><h2>verb</h2><ul><li>To lump together<ul style=""list-style-type:circle""><li>anh phải phân biệt ai đúng ai sai, thay vì à uôm:<i>you must make a difference between who is right and who is wrong, instead of lumping things together</i></li></ul></li></ul>",verb: To lump together,
12,ả,"<h1>ả</h1><h2>noun</h2><ul><li>Lass<ul style=""list-style-type:circle""><li>tại anh tại ả, tại cả đôi bên:<i>it's the lad's fault, it's the lass' fault, it's the fault of both</i></li></ul></li></ul>",noun: Lass,
13,ả đào,"<h1>ả đào</h1><h2>noun</h2><ul><li>Singsong girl, geisha</li></ul>","noun: Singsong girl, geisha",
14,ả giang hồ,"<h1>ả giang hồ</h1><h2>noun</h2>-prostitute,<br/>-street-walker<br/>",noun: ,
15,á,"<h1>á</h1><h2>excl</h2><ul><li>Aah! Oof(expression of suffering)</li></ul><h2>noun</h2><ul><li>Asia<ul style=""list-style-type:circle""><li>khối đại đông á:<i>the New Order for greater East Asia</i></li><li>người châu á:<i>an Asian</i></li></ul></li></ul><h2>adj</h2><ul><li>Asian, Asiatic<ul style=""list-style-type:circle""><li>Hiệp hội các nước đông nam á:<i>Association of South-East Asian Nations (ASEAN)</i></li></ul></li></ul>",excl: Aah! Oof(expression of suffering),
16,á-căn-đình,"<h1>á-căn-đình</h1><h2>noun</h2>-Argentina, the Argentine<br/>",noun: ,
17,á khẩu,"<h1>á khẩu</h1><h2>noun</h2><ul><li>aphasia<ul style=""list-style-type:circle""><li>người mắc chứng á khẩu:<i>aphasic</i></li></ul></li></ul>",noun: aphasia,
18,á khôi,<h1>á khôi</h1><h2>noun</h2><ul><li>the second winner in a contest</li></ul>,noun: the second winner in a contest,
19,á kim,<h1>á kim</h1><h2>noun</h2><ul><li>Metalloid</li></ul>,noun: Metalloid,
20,á rập,"<h1>á rập</h1><h2>noun</h2>-Arabia<br/><ul style=""list-style-type:circle""><li>người á-rập:<i>Arabian</i></li><li>tiếng á-rập:<i>Arabic</i></li></ul>",noun: người á-rập:<i>Arabian</i>,
21,ạ,"<h1>ạ</h1><h2>từ đệm</h2><ul style=""list-style-type:circle""><li>Vâng ạ:<i>yes, sir</i></li></ul>","từ đệm: Vâng ạ:<i>yes, sir</i>",
22,ác,"<h1>ác</h1><h2>noun</h2><ul><li>Crow, raven</li><li>(cũ) The sun<ul style=""list-style-type:circle""><li>gửi trứng cho ác:<i>to set the fox to keep the geese</i></li></ul></li></ul><h2>adj</h2><ul><li>Cruel, malicious</li><li>Severe, fierce<ul style=""list-style-type:circle""><li>đợt rét ác:<i>a severe cold spell</i></li><li>trận đánh ác:<i>a fierce battle</i></li><li>hôm nay nắng ác:<i>today the sun is blistering hot</i></li></ul></li><li>Ripping, rattling good<ul style=""list-style-type:circle""><li>trận đá bóng ác:<i>a ripping soccer game</i></li></ul></li></ul>","noun: Crow, raven",
23,ác bá,"<h1>ác bá</h1><h2>noun</h2><ul><li>Cruel landlord, village tyrant</li></ul>","noun: Cruel landlord, village tyrant",
24,ác cảm,"<h1>ác cảm</h1><h2>noun</h2><ul><li>Antipathy, aversion, enmity, bad blood, ill feeling<ul style=""list-style-type:circle""><li>có ác cảm với người nào:<i>To have an enmity against someone, to be antipathetic to someone</i></li><li>hai người con dâu ấy có rất nhiều ác cảm với nhau:<i>there is a lot of bad blood (ill feeling) between those two daughters-in-law</i></li></ul></li></ul>","noun: Antipathy, aversion, enmity, bad blood, ill feeling",
25,ác chiến,"<h1>ác chiến</h1><h2>verb</h2><ul><li>To fight violently, to fight fiercely<ul style=""list-style-type:circle""><li>trận ác chiến:<i>a violent fight, a fight to the finish</i></li></ul></li></ul>","verb: To fight violently, to fight fiercely",
26,ác khẩu,<h1>ác khẩu</h1><ul><li>như {ác miệng}</li></ul>,như {ác miệng},
27,ác là,<h1>ác là</h1><h2>noun</h2><ul><li>Magpie</li></ul>,noun: Magpie,
28,ác liệt,"<h1>ác liệt</h1><h2>adj</h2><ul><li>Very fierce, very violent</li></ul>","adj: Very fierce, very violent",
29,ác miệng,"<h1>ác miệng</h1><h2>adj</h2><ul><li>Foul-mouthed, foul-tongued</li></ul>","adj: Foul-mouthed, foul-tongued",
30,ác mó,"<h1>ác mó</h1><h2>noun</h2><ul><li>Parrot</li><li>Shrew, termagant</li></ul>",noun: Parrot,
31,ác mô ni ca,<h1>ác mô ni ca</h1><h2>noun</h2><ul><li>Mouth-organ</li></ul>,noun: Mouth-organ,
32,ác mộng,"<h1>ác mộng</h1><h2>noun</h2><ul><li>Nightmare<ul style=""list-style-type:circle""><li>tôi có những cơn ác mộng thấy mình bị rơi vào vực sâu:<i>I have nightmares about falling into an abyss</i></li></ul></li></ul>",noun: Nightmare,
33,ác nghiệt,"<h1>ác nghiệt</h1><h2>adj</h2><ul><li>Cruel, venomous, harsh, spiteful</li></ul>","adj: Cruel, venomous, harsh, spiteful",
34,ác ôn,"<h1>ác ôn</h1><h2>noun</h2><ul><li>Enemy-hired killer, wicked thug</li></ul><h2>adj</h2><ul><li>Ruffianly, thug-like</li></ul>","noun: Enemy-hired killer, wicked thug",
35,ác phụ,"<h1>ác phụ</h1><h2>noun</h2>-wicked woman<br/><ul style=""list-style-type:circle""><li>đó là một con ác_phụ:<i>That is a wicked woman</i></li></ul>",noun: đó là một con ác_phụ:<i>That is a wicked woman</i>,
36,ác quỷ,"<h1>ác quỷ</h1><h2>noun</h2><ul><li>Demon, fiend</li></ul>","noun: Demon, fiend",
37,ác tà,"<h1>ác tà</h1>-sunset, declining sun<br/>",,
38,ác tâm,"<h1>ác tâm</h1><h2>noun</h2><ul><li>Malice, malignity, ill will</li></ul>","noun: Malice, malignity, ill will",
39,ác thú,<h1>ác thú</h1><h2>noun</h2><ul><li>Beast of prey</li></ul>,noun: Beast of prey,
40,ác tính,"<h1>ác tính</h1><h2>adj</h2><ul><li>Malign, malignant<ul style=""list-style-type:circle""><li>khối u ác tính, bướu ác tính:<i>malignant growth, malignant tumour</i></li><li>sốt rét ác tính:<i>malignant malaria</i></li></ul></li></ul>","adj: Malign, malignant",
41,ác ý,"<h1>ác ý</h1><h2>noun</h2><ul><li>Malice, malignity, ill will<ul style=""list-style-type:circle""><li>câu nói đùa của nó không có ác ý gì đâu:<i>there is no malice in his joke, no offence is meant in his joke</i></li></ul></li></ul>","noun: Malice, malignity, ill will",
42,ách,"<h1>ách</h1><h2>noun</h2><ul><li>Yoke<ul style=""list-style-type:circle""><li>đặt ách lên con trâu, lồng con trâu vào ách:<i>to put a yoke on a buffalo</i></li><li>ách thực dân:<i>the colonialist yoke</i></li></ul></li></ul><h2>verb</h2><ul><li>To come to a standstill, to be at a standstill<ul style=""list-style-type:circle""><li>công việc ách lại:<i>business is at a standstill</i></li></ul></li><li>To stop<ul style=""list-style-type:circle""><li>ách ai lại hỏi giấy tờ:<i>to stop somebody and check his papers</i></li></ul></li></ul><h2>adj</h2><ul><li>Having a bloated (blown up) stomach, feeling bloated (blown up)<ul style=""list-style-type:circle""><li>uống bia ách cả bụng:<i>to feel bloated because of drinking too much beer</i></li></ul></li></ul>",noun: Yoke,
43,ạch,"<h1>ạch</h1><h2>noun</h2>-flump; flop<br/><ul style=""list-style-type:circle""><li>té cái ạch:<i>to fall flop</i></li></ul>",noun: té cái ạch:<i>to fall flop</i>,
44,ai,"<h1>ai</h1><h2>pronoun</h2><ul><li>Who, whom, someone, somebody, anyone, anybody<ul style=""list-style-type:circle""><li>ai đó?:<i>Who is there?</i></li><li>anh là ai?, anh muốn gặp ai?:<i>who are you? whom do you want to see?</i></li><li>tôi muốn biết ai đã đưa ra lời gợi ý vô lý ấy:<i>I want to know who has dropped that absurd hint</i></li><li>có ai trong phòng này không?:<i>is there anyone (anybody) in this room?</i></li><li>có ai đó điện thoại cho anh trong lúc anh đi vắng:<i>somebody (someone) made you a call during your absence</i></li><li>Không có ai cả:<i>Not anybody (nobody)</i></li><li>tôi không biết ai trong gia đình này cả:<i>I don't know anybody (anyone) in this family</i></li></ul></li></ul>","pronoun: Who, whom, someone, somebody, anyone, anybody",
45,ai ai,"<h1>ai ai</h1><ul><li>Everyone, everybody<ul style=""list-style-type:circle""><li>ai ai đều cũng phải chết:<i>everyone is mortal</i></li><li>ai ai cũng khao khát yêu và được yêu:<i>everyone aspires to love and to be loved</i></li><li>ai ai cũng vui trừ anh ta ra:<i>everybody is happy but him</i></li></ul></li></ul>","Everyone, everybody",
46,ai điếu,<h1>ai điếu</h1><h2>noun</h2>-eulogy; condolence<br/>,noun: ,
